,Title,videoPublishedAt,viewCount,likeCount,commentCount,favoriteCount,duration,categoryId
0,La decoración de la casa del pueblo de mi madre 👀,2026-04-07T19:00:29Z,17833,2545,272,0,PT11M42S,26
1,Rincón de cafecito en el jardín por 60€ ‼️ sofá de la basura 😱,2026-04-03T18:00:22Z,12598,1604,202,0,PT20M3S,26
2,Sofá de jardín en la basura! 😱 voy a la tienda de segunda mano y compro lo que menos buscaba,2026-04-01T19:00:34Z,13659,1557,110,0,PT16M28S,26
3,Mi compra del Action 60€  👀 novedades en decoración y jardín,2026-03-30T18:51:45Z,9942,1144,58,0,PT16M50S,26
4,Tienda gigante de segunda mano ‼️ otras opciones para el jardín,2026-03-27T20:04:06Z,9082,1220,57,0,PT11M,26
5,Montamos la CÓMODA ¡por fin! ¡es una PESADILLA! CAMBIO de TEMPORADA de mi ARMARIO,2026-03-25T19:25:58Z,12827,1668,140,0,PT13M50S,26
6,Conjunto de sofá de jardin de Carrefour 129€ 👉 90€ de segunda mano y 970€ en Stock Americain 😅,2026-03-23T20:36:11Z,12748,1434,177,0,PT27M19S,26
7,Buscando muebles de jardin en 4 tiendas // tienda de segunda mano,2026-03-20T19:00:58Z,9859,1267,108,0,PT19M,26
8,Primavera en el Action 🌷 compras para el Eid,2026-03-18T20:00:23Z,9072,1255,78,0,PT20M14S,26
9,¡ No friego mas! Emocionada con mi nuevo robot aspirador iLife con estacion de descarga 😃,2026-03-16T20:00:08Z,20663,901,97,0,PT12M19S,26
10,"Compra en ALDI 👀 bazar, ofertas y como sushi en el coche 😁🍣",2026-03-13T20:00:08Z,9714,1221,65,0,PT21M47S,26
11,Como madre de familia numerosa hay cosas de casa que no hago igual,2026-03-11T20:00:37Z,11470,1273,108,0,PT25M48S,26
12,Voy a la tienda de segunda mano a buscar muebles de jardin y salgo con ropa 😁,2026-03-09T20:30:19Z,12421,1509,111,0,PT15M22S,26
13,Tu casa huele mal pero tu no lo notas 👉 cómo detectarlo y remediarlo,2026-03-06T19:00:03Z,8142,1153,92,0,PT6M49S,26
14,Nueva tienda de segunda mano ✋🏻 mi hijo de 5 años desmonta mi habitación 😅,2026-03-04T19:43:16Z,11411,1541,128,0,PT11M55S,26
15,Voy a la tienda de segunda mano y al Jysk a buscar una cómoda para mi dormitorio 👀,2026-02-27T19:00:40Z,14933,1754,94,0,PT14M55S,26
16,Cómo organizar una DESPENSA GRANDE para familia muy numerosa,2026-02-25T19:00:31Z,10928,1276,164,0,PT31M10S,26
17,Truco para tener las ventanas sin gotas en climas  lluviosos,2026-02-23T19:00:09Z,7899,1051,83,0,PT10M5S,26
18,Tienda de segunda mano ✋🏻 ofertas y cosas curiosas de Bélgica,2026-02-19T14:00:23Z,10340,1434,89,0,PT12M38S,26
19,La realidad de mi dormitorio con los niños de vacaciones 😅,2026-02-17T19:00:18Z,14233,1482,192,0,PT21M53S,26
20,Ordenar la despensa es ahorrar porque sabes lo que tienes,2026-02-12T12:19:41Z,10514,1289,107,0,PT19M31S,26
21,Voy a la tienda de segunda mano a por una mesa para coser 👀,2026-02-10T19:34:21Z,14286,1501,81,0,PT14M35S,26
22,Aplausos para mi 👏,2026-02-07T13:59:53Z,11151,527,12,0,PT6S,26
23,Limpieza y chisme 😁,2026-02-05T20:48:04Z,11973,459,14,0,PT6S,26
24,"Limpio la recocina 🫧 interrupe un chisme, no me quedo tranquila hasta que me emtero 👀 limpia conmigo",2026-02-05T10:14:41Z,15436,1522,223,0,PT34M1S,26
25,Limpieza y chisme 👀 Rutina de la mañana mientras os cuento cosas 🏡 limpia conmigo,2026-02-03T11:33:20Z,9211,1290,106,0,PT20M59S,26
26,Voy a mi tienda de segunda mano favorita y encuentro ¡un carro para el lavavajillas! Muchos sofás 😱,2026-01-30T19:00:08Z,15892,1688,109,0,PT17M54S,26
27,Mi marido va a la compra 👉 ¿lo habrá hecho bien  o no mira precios? 👀,2026-01-26T19:00:57Z,11260,1522,115,0,PT12M35S,26
28,Me cuesta mucho enfrentarme a esto 👉 empiezo a despejar el trastero y me bloqueo,2026-01-21T19:00:48Z,12684,1512,228,0,PT27M19S,26
29,Tiendas de segunda mano 👉 Voy a un krinwinkel nuevo y acabo en Wibra,2026-01-19T18:00:56Z,12347,1532,101,0,PT16M6S,26
30,CAMBIO RADICAL 👉 rincón de juegos para los niños en el ático,2026-01-16T18:01:00Z,11126,1580,162,0,PT23M37S,26
31,Super chollos en la tienda de segunda mano 👉 molinillo antiguo y platos de tarta 😃❤️,2026-01-12T19:17:26Z,13856,1456,92,0,PT19M53S,26
32,Compra en el Action con giro inesperado 👉 encuentro una gotera en casa 😱,2026-01-09T18:27:29Z,12373,1558,96,0,PT14M,26
33,CAMBIO RADICAL 😱 de trastero a cuarto de costura 👈,2026-01-05T18:54:04Z,16610,2023,144,0,PT24M25S,26
34,Muchas cosas extrañas y curiosas en la tienda de segunda mano 👀,2026-01-02T19:00:55Z,13325,1619,90,0,PT16M,26
35,Como limpio los hornillos de acero inoxidable para dejarlos brillantes 👉 truco del aceite,2025-12-29T18:11:16Z,5899,827,86,0,PT6M45S,26
36,Tienda de segunda mano ✨️ precios de risa y antiguedades únicas 😱,2025-12-26T19:00:28Z,15554,1486,120,0,PT15M46S,26
37,Encuentro aislante para la buhardilla ¡en la tienda de segunda mano!,2025-12-16T18:28:03Z,12132,1351,75,0,PT25M34S,26
38,Para que luego diga que no le cuido 🤣🤣,2025-12-10T21:01:03Z,15177,631,27,0,PT16S,26
39,Le he pillado comiendo chocolate 😅,2025-12-10T18:24:09Z,11882,546,33,0,PT16S,26
40,Compra de despensa de emergencia de familia numerosa con precios en Bélgica/ Colruit 273€,2025-12-10T18:02:12Z,11426,1461,95,0,PT16M,26
41,Mis favoritos de limpieza del Action 👀,2025-12-02T17:49:08Z,6152,709,54,0,PT8M43S,26
42,MUEBLES A 1€ en la TIENDA de SEGUNDA MANO,2025-11-26T15:06:46Z,16676,1615,127,0,PT15M13S,26
43,Contesto comentarios sobre mi buhardilla ➡️ cuanto invertir cuando la casa no es tuya 👀 cafecito,2025-11-20T09:49:48Z,9751,1321,190,0,PT16M7S,26
44,Primer cafecito en la buhardilla de mi casa 🏡,2025-11-18T08:52:58Z,8727,1257,199,0,PT13M53S,26
45,Estufa eléctrica con efecto fuego,2025-11-17T16:03:28Z,10129,1268,182,0,PT19M53S,26
46,"Cómo limpiar de bichos un sitio que ha estado cerrado mucho tiempo 😱 arañas, avispas, ....",2025-11-14T17:21:55Z,6647,936,119,0,PT14M15S,26
47,Cambio radical de la buhardilla low cost ✨️ mi lugar del olvido  👀,2025-11-10T18:41:33Z,18077,2230,361,0,PT34M12S,26
48,Recojo en cuarto de los niños mientras os cuento chismes ✨️ limpia conmigo,2025-11-07T19:36:53Z,13092,1477,180,0,PT20M2S,26
49,Voy a una tienda de segunda mano gigante y encuentro un tesoro y ropa para mi nuevo look 🤓,2025-10-31T18:01:09Z,18545,1956,91,0,PT12M26S,26
50,Vemos un raton en la cocina y voy a comprar una trampa ¿que solución es mejor?,2025-10-28T17:01:47Z,9266,1225,180,0,PT10M28S,26
51,Como se saca la prensa de la cafetera Delongui para limpiarla,2025-10-25T21:07:28Z,6509,225,3,0,PT16S,26
52,"Limpieza profunda de la maquina de café Delongui Magnifica ➡️ interior, prensa y descalcificación",2025-10-24T19:55:20Z,7454,935,84,0,PT23M18S,26
53,Super cambio sólo con una alfombra 👀 cine en casa 😎Temu siempre me decepciona,2025-10-21T19:01:09Z,13407,1802,207,0,PT12M46S,26
54,Consigo por 250 un sillon de masaje de 5000 en la tienda de segunda mano 😱,2025-10-16T19:01:58Z,14452,1730,208,0,PT21M28S,26
55,¿Que es esto? tienda de segunda mano,2025-10-16T18:00:24Z,6932,304,17,0,PT15S,26
56,Lo más caro que he visto en una tienda de segunda mano,2025-10-16T16:00:19Z,5847,277,9,0,PT13S,26
57,tesoros en la tienda de segunda mano 😃,2025-10-16T14:31:32Z,4293,247,10,0,PT15S,26
58,Cosas sin estrenar en la tienda de segunda mano 😃 lo más caro y lo más barato que he visto aqui,2025-10-14T19:01:01Z,13261,1595,92,0,PT18M24S,26
59,Contesto comentarios 👌 soy muy obediente,2025-10-14T17:46:29Z,18455,1054,98,0,PT47S,26
60,Con 4 cosas del Action CAMBIO RADICAL de mi entrada ¡muy barato! Mejor hecho que perfecto,2025-10-12T16:52:41Z,16190,2067,309,0,PT22M56S,26
61,Uyuyuy,2025-10-09T18:57:18Z,15271,553,23,0,PT15S,26
62,Cómo quitar el ÓXIDO muy FÁCIL 👉 pruebo 3 TRUCOS y uno es 10 de 10 ✨️,2025-10-09T17:46:39Z,8811,1143,130,0,PT12M23S,26
63,No quiero pedir ayuda porque es secreto,2025-10-09T07:18:54Z,7927,463,21,0,PT11S,26
64,Probando la atornilladora por primera vez,2025-10-08T19:50:13Z,5629,393,24,0,PT12S,26
65,Mi marido no quería pero lo hice en secreto 👀Cambio el estor de sitio porque bloquea la ventana,2025-10-07T16:29:38Z,13521,1919,329,0,PT17M41S,26
66,preparándome para la guerra,2025-10-05T20:00:06Z,3845,349,27,0,PT22S,26
67,Limpieza diaria de mi dormitorio ✨️ os enseño cómo limpio el deposito de mi aspiradora ULTENIC U20,2025-10-05T18:00:18Z,10500,1369,91,0,PT20M24S,26
68,preparándome para una hora intensiva de limpieza,2025-10-05T17:35:47Z,2902,273,12,0,PT22S,26
69,Lámpara de mesillas del Lidl,2025-10-03T16:01:26Z,12667,452,15,0,PT12S,26
70,Señora se tira un peo en el supermercado,2025-10-03T12:01:37Z,9326,412,40,0,PT11S,26
71,Le gusta colgar todo muy alto,2025-10-03T09:01:35Z,10020,523,28,0,PT16S,26
72,Cuando los maridos se quejan por todo,2025-10-02T20:00:24Z,14196,680,21,0,PT11S,26
73,El expectativa realidad de Temu nunca dejará de sorprenderme,2025-10-02T16:01:28Z,3855,358,14,0,PT44S,26
74,LIMPIEZA EXTREMA en el salón una hora💪🏻 POWER HOUR 👈Antes y después room tour ➡️ MOTIVATIE A LIMPIAR,2025-10-02T14:36:58Z,15436,1906,202,0,PT16M51S,26
75,Cojines de Temu para mi rincón marroquí,2025-10-02T08:05:40Z,3428,237,12,0,PT22S,26
76,Hoy os llevo al lidl a buscar ofertasss,2025-09-30T20:12:19Z,13446,521,17,0,PT9S,26
77,Rincon marroqui,2025-09-30T17:36:41Z,9911,398,23,0,PT10S,26
78,Hoy vamos a hacer la compra y buscar ofertas en Lidl ( Bélgica ) Compra para familia numerosa,2025-09-30T17:36:02Z,12604,1457,91,0,PT16M41S,26
79,Estos maniquíes cuestan una Pasta,2025-09-28T21:00:20Z,9421,287,7,0,PT9S,26
80,Unboxing de Temu,2025-09-28T19:00:38Z,10142,483,18,0,PT10S,26
81,Muñecas que dan miedo... Pero...,2025-09-28T17:00:32Z,3878,304,18,0,PT30S,26
82,antes/después➡️Con 4 cojines transfotmo el desastre de casa en un rincón marroqui🫖la pelea de gorros,2025-09-28T13:39:03Z,20836,1953,349,0,PT21M31S,26
83,Candelabros para mi rincón Marroquí,2025-09-28T13:06:32Z,6664,363,17,0,PT16S,26
84,Que opinais Gentecika!!?,2025-09-27T17:42:41Z,6295,353,16,0,PT18S,26
85,Algo interesante encontraremos,2025-09-26T18:15:02Z,9092,672,24,0,PT35S,26
86,Voy a mi tienda de segunda mano favorita y estaba lleno de tesoros hoy  👀,2025-09-25T17:29:34Z,29183,2151,190,0,PT29M41S,26
87,mis dos personalidades conviviendo un dia cualquiera,2025-09-25T13:55:29Z,13231,1087,91,0,PT52S,26
88,Empiezo a vaciar el trastero 😐 ropa y calzado de invierno de una familia de 8,2025-09-22T16:46:06Z,13330,1631,122,0,PT15M15S,26
89,Conversaciones con la cortina 😄,2025-09-20T19:39:49Z,8174,509,13,0,PT32S,26
90,Montamos la habitacion de la princesa de la casa   💫sola entre 5 hermanos 👀 muebles de IKEA,2025-09-19T17:21:33Z,23721,2297,252,0,PT14M58S,26
91,Dormía en un sótano y por fin tengo un dormitorio de verdad 😭 cambio radical de mi cuarto ❤️,2025-09-17T16:07:12Z,22145,2967,441,0,PT31M56S,26
92,Cambio radical por poco dinero del dormitorio infantil 👀,2025-09-15T19:40:40Z,25581,3125,294,0,PT31M27S,26
93,Buscando camas por varias tiendas ➡️ segunda mano o nuevas 🤔,2025-09-10T17:43:01Z,15595,1832,209,0,PT18M3S,26
94,Dormimos en el suelo y voy a por camas a Ikea 👀 Os enseño toda la tienda,2025-09-08T17:02:11Z,22397,2228,174,0,PT25M14S,26
95,Limpiando conmigo mi salón nuevo #resultado #antesydespues,2025-09-07T08:22:54Z,11214,468,22,0,PT13S,26
96,estoy en Ikea. Que debería comprar?,2025-09-06T08:23:36Z,18496,977,54,0,PT27S,26
